DATETIME,TIME,LON,LAT,ZON,MER
31-DEC-2022,44559.5,68.0,4.0,-0.274604,0.211275
31-DEC-2022,44559.5,68.5,4.0,-0.261706,0.182765
31-DEC-2022,44559.5,69.0,4.0,-0.266384,0.154062
31-DEC-2022,44559.5,69.5,4.0,-0.303996,0.150581
31-DEC-2022,44559.5,70.0,4.0,-0.331445,0.169693
31-DEC-2022,44559.5,70.5,4.0,-0.345361,0.155995
31-DEC-2022,44559.5,71.0,4.0,-0.338373,0.121053
31-DEC-2022,44559.5,71.5,4.0,-0.307129,0.11795
31-DEC-2022,44559.5,72.0,4.0,-0.311545,0.130336
31-DEC-2022,44559.5,72.5,4.0,-0.336722,0.137825
31-DEC-2022,44559.5,73.0,4.0,-0.354731,0.122188
31-DEC-2022,44559.5,73.5,4.0,-0.373661,0.0622218
31-DEC-2022,44559.5,74.0,4.0,-0.386244,0.0151899
31-DEC-2022,44559.5,74.5,4.0,-0.330756,-0.096316
31-DEC-2022,44559.5,75.0,4.0,-0.266576,-0.147949
31-DEC-2022,44559.5,75.5,4.0,-0.242214,-0.109035
31-DEC-2022,44559.5,76.0,4.0,-0.192889,0.0371396
31-DEC-2022,44559.5,76.5,4.0,-0.249726,0.259967
31-DEC-2022,44559.5,77.0,4.0,-0.424637,0.382981
31-DEC-2022,44559.5,77.5,4.0,-0.539061,0.249747
31-DEC-2022,44559.5,78.0,4.0,-0.526019,0.142138
31-DEC-2022,44559.5,78.5,4.0,-0.582036,0.0616339
31-DEC-2022,44559.5,79.0,4.0,-0.620774,-0.0197133
31-DEC-2022,44559.5,79.5,4.0,-0.673747,-0.100049
31-DEC-2022,44559.5,80.0,4.0,-0.643579,-0.121488
31-DEC-2022,44559.5,80.5,4.0,-0.597614,-0.0816215
31-DEC-2022,44559.5,81.0,4.0,-0.541283,-0.0288746
31-DEC-2022,44559.5,81.5,4.0,-0.485946,0.0121821
31-DEC-2022,44559.5,82.0,4.0,-0.393948,0.0440078
31-DEC-2022,44559.5,82.5,4.0,-0.307137,0.111136
31-DEC-2022,44559.5,83.0,4.0,-0.249336,0.152785
31-DEC-2022,44559.5,83.5,4.0,-0.232824,0.138568
31-DEC-2022,44559.5,84.0,4.0,-0.220343,0.0955081
31-DEC-2022,44559.5,84.5,4.0,-0.217221,0.0262355
31-DEC-2022,44559.5,85.0,4.0,-0.282188,-0.0620672
31-DEC-2022,44559.5,85.5,4.0,-0.370069,-0.0722863
31-DEC-2022,44559.5,86.0,4.0,-0.39007,-0.0416353
31-DEC-2022,44559.5,86.5,4.0,-0.383495,-0.04637
31-DEC-2022,44559.5,87.0,4.0,-0.371418,-0.0728482
31-DEC-2022,44559.5,87.5,4.0,-0.351956,-0.0530431
31-DEC-2022,44559.5,88.0,4.0,-0.290079,-0.0145438
31-DEC-2022,44559.5,88.5,4.0,-0.187359,0.0445704
31-DEC-2022,44559.5,89.0,4.0,-0.146808,0.159079
31-DEC-2022,44559.5,68.0,4.25,-0.282816,0.20824
31-DEC-2022,44559.5,68.5,4.25,-0.273147,0.202025
31-DEC-2022,44559.5,69.0,4.25,-0.274099,0.174493
31-DEC-2022,44559.5,69.5,4.25,-0.31832,0.163939
31-DEC-2022,44559.5,70.0,4.25,-0.349288,0.147988
31-DEC-2022,44559.5,70.5,4.25,-0.369426,0.108184
31-DEC-2022,44559.5,71.0,4.25,-0.361677,0.0928844
31-DEC-2022,44559.5,71.5,4.25,-0.337215,0.0846444
31-DEC-2022,44559.5,72.0,4.25,-0.297222,0.104343
31-DEC-2022,44559.5,72.5,4.25,-0.308807,0.120442
31-DEC-2022,44559.5,73.0,4.25,-0.322952,0.114857
31-DEC-2022,44559.5,73.5,4.25,-0.355377,0.0759744
31-DEC-2022,44559.5,74.0,4.25,-0.365869,-0.0117067
31-DEC-2022,44559.5,74.5,4.25,-0.319237,-0.122482
31-DEC-2022,44559.5,75.0,4.25,-0.260735,-0.150239
31-DEC-2022,44559.5,75.5,4.25,-0.208426,-0.113055
31-DEC-2022,44559.5,76.0,4.25,-0.187698,0.0256564
31-DEC-2022,44559.5,76.5,4.25,-0.213208,0.246624
31-DEC-2022,44559.5,77.0,4.25,-0.350265,0.405472
31-DEC-2022,44559.5,77.5,4.25,-0.489688,0.300907
31-DEC-2022,44559.5,78.0,4.25,-0.496287,0.203999
31-DEC-2022,44559.5,78.5,4.25,-0.528974,0.105351
31-DEC-2022,44559.5,79.0,4.25,-0.555887,0.00530008
31-DEC-2022,44559.5,79.5,4.25,-0.612969,-0.11572
31-DEC-2022,44559.5,80.0,4.25,-0.614234,-0.149211
31-DEC-2022,44559.5,80.5,4.25,-0.60776,-0.100289
31-DEC-2022,44559.5,81.0,4.25,-0.557208,-0.0103854
31-DEC-2022,44559.5,81.5,4.25,-0.539533,0.0579021
31-DEC-2022,44559.5,82.0,4.25,-0.469472,0.0760671
31-DEC-2022,44559.5,82.5,4.25,-0.369589,0.104756
31-DEC-2022,44559.5,83.0,4.25,-0.280772,0.1472
31-DEC-2022,44559.5,83.5,4.25,-0.220257,0.156407
31-DEC-2022,44559.5,84.0,4.25,-0.210195,0.126327
31-DEC-2022,44559.5,84.5,4.25,-0.243314,0.0579644
31-DEC-2022,44559.5,85.0,4.25,-0.320796,0.0125391
31-DEC-2022,44559.5,85.5,4.25,-0.378844,0.0124066
31-DEC-2022,44559.5,86.0,4.25,-0.396689,0.00937273
31-DEC-2022,44559.5,86.5,4.25,-0.396733,-0.039236
31-DEC-2022,44559.5,87.0,4.25,-0.35983,-0.0493907
31-DEC-2022,44559.5,87.5,4.25,-0.34703,0.00434418
31-DEC-2022,44559.5,88.0,4.25,-0.33075,0.0368888
31-DEC-2022,44559.5,88.5,4.25,-0.243797,0.0390603
31-DEC-2022,44559.5,89.0,4.25,-0.129311,0.0935778
31-DEC-2022,44559.5,68.0,4.5,-0.286925,0.23035
31-DEC-2022,44559.5,68.5,4.5,-0.279146,0.214441
31-DEC-2022,44559.5,69.0,4.5,-0.281706,0.196409
31-DEC-2022,44559.5,69.5,4.5,-0.324202,0.178115
31-DEC-2022,44559.5,70.0,4.5,-0.369134,0.137657
31-DEC-2022,44559.5,70.5,4.5,-0.378214,0.10209
31-DEC-2022,44559.5,71.0,4.5,-0.387516,0.0732607
31-DEC-2022,44559.5,71.5,4.5,-0.372285,0.0753367
31-DEC-2022,44559.5,72.0,4.5,-0.316971,0.0944749
31-DEC-2022,44559.5,72.5,4.5,-0.309559,0.109994
31-DEC-2022,44559.5,73.0,4.5,-0.292302,0.103411
31-DEC-2022,44559.5,73.5,4.5,-0.327848,0.0558617
31-DEC-2022,44559.5,74.0,4.5,-0.336935,-0.0310555
31-DEC-2022,44559.5,74.5,4.5,-0.307036,-0.130462
31-DEC-2022,44559.5,75.0,4.5,-0.229488,-0.153772
31-DEC-2022,44559.5,75.5,4.5,-0.184286,-0.1174
31-DEC-2022,44559.5,76.0,4.5,-0.162619,0.0272453
31-DEC-2022,44559.5,76.5,4.5,-0.198144,0.26163
31-DEC-2022,44559.5,77.0,4.5,-0.285625,0.43689
31-DEC-2022,44559.5,77.5,4.5,-0.40867,0.36515
31-DEC-2022,44559.5,78.0,4.5,-0.441247,0.263455
31-DEC-2022,44559.5,78.5,4.5,-0.440872,0.169692
31-DEC-2022,44559.5,79.0,4.5,-0.458325,0.0421798
31-DEC-2022,44559.5,79.5,4.5,-0.490796,-0.107097
31-DEC-2022,44559.5,80.0,4.5,-0.509216,-0.175186
31-DEC-2022,44559.5,80.5,4.5,-0.54371,-0.122392
31-DEC-2022,44559.5,81.0,4.5,-0.559783,-0.00835143
31-DEC-2022,44559.5,81.5,4.5,-0.534576,0.0954477
31-DEC-2022,44559.5,82.0,4.5,-0.487369,0.145674
