DATETIME,TIME,LON,LAT,E_WIND,N_WIND,Z_CURR,M_CURR
31-DEC-2022,44559.5,68.0,4.0,-4.73,-1.99,-0.274604,0.211275
31-DEC-2022,44559.5,68.5,4.0,-4.05,-3.52,-0.261706,0.182765
31-DEC-2022,44559.5,69.0,4.0,-4.115,-2.525,-0.266384,0.154062
31-DEC-2022,44559.5,69.5,4.0,-2.85,-0.085,-0.303996,0.150581
31-DEC-2022,44559.5,70.0,4.0,-4.815,-1.24,-0.331445,0.169693
31-DEC-2022,44559.5,70.5,4.0,-5.375,-0.885,-0.345361,0.155995
31-DEC-2022,44559.5,71.0,4.0,-5.425,-1.68,-0.338373,0.121053
31-DEC-2022,44559.5,71.5,4.0,-5.47,-2.735,-0.307129,0.11795
31-DEC-2022,44559.5,72.0,4.0,-5.355,-2.6,-0.311545,0.130336
31-DEC-2022,44559.5,72.5,4.0,-5.391,-2.095,-0.336722,0.137825
31-DEC-2022,44559.5,73.0,4.0,-5.805,-2.02,-0.354731,0.122188
31-DEC-2022,44559.5,73.5,4.0,-6.425,-1.78,-0.373661,0.0622218
31-DEC-2022,44559.5,74.0,4.0,-6.14,-2.74,-0.386244,0.0151899
31-DEC-2022,44559.5,74.5,4.0,-5.58,-3.145,-0.330756,-0.096316
31-DEC-2022,44559.5,75.0,4.0,-5.135,-2.95,-0.266576,-0.147949
31-DEC-2022,44559.5,75.5,4.0,-4.76,-2.635,-0.242214,-0.109035
31-DEC-2022,44559.5,76.0,4.0,-4.175,-3.495,-0.192889,0.0371396
31-DEC-2022,44559.5,76.5,4.0,-3.935,-3.945,-0.249726,0.259967
31-DEC-2022,44559.5,77.0,4.0,-3.53,-3.79,-0.424637,0.382981
31-DEC-2022,44559.5,77.5,4.0,-2.485,-3.3,-0.539061,0.249747
31-DEC-2022,44559.5,78.0,4.0,-1.78,-4.02,-0.526019,0.142138
31-DEC-2022,44559.5,78.5,4.0,-2.595,-4.395,-0.582036,0.0616339
31-DEC-2022,44559.5,79.0,4.0,-3.58,-5.58,-0.620774,-0.0197133
31-DEC-2022,44559.5,79.5,4.0,-2.72,-5.59,-0.673747,-0.100049
31-DEC-2022,44559.5,80.0,4.0,-2.605,-5.43,-0.643579,-0.121488
31-DEC-2022,44559.5,80.5,4.0,-2.14,-5.95,-0.597614,-0.0816215
31-DEC-2022,44559.5,81.0,4.0,-1.725,-6.255,-0.541283,-0.0288746
31-DEC-2022,44559.5,81.5,4.0,-1.525,-6.58,-0.485946,0.0121821
31-DEC-2022,44559.5,82.0,4.0,-0.88,-6.19,-0.393948,0.0440078
31-DEC-2022,44559.5,82.5,4.0,-0.1,-6.615,-0.307137,0.111136
31-DEC-2022,44559.5,83.0,4.0,-1.92,-6.63,-0.249336,0.152785
31-DEC-2022,44559.5,83.5,4.0,-2.47,-6.63,-0.232824,0.138568
31-DEC-2022,44559.5,84.0,4.0,-2.305,-6.43,-0.220343,0.0955081
31-DEC-2022,44559.5,84.5,4.0,-1.715,-6.475,-0.217221,0.0262355
31-DEC-2022,44559.5,85.0,4.0,-1.83,-6.615,-0.282188,-0.0620672
31-DEC-2022,44559.5,85.5,4.0,-2.045,-6.995,-0.370069,-0.0722863
31-DEC-2022,44559.5,86.0,4.0,-1.785,-7.035,-0.39007,-0.0416353
31-DEC-2022,44559.5,86.5,4.0,-2.235,-6.275,-0.383495,-0.04637
