Total Number of Records           6630.
             DATA SET: /home/las/datasets/amsre/amsre_3day_global.nc
             X: 0.5 to 6630.5
 Column  1: DATETIME is Time String
 Column  2: TIME is Time Coordinates (days since 15-JAN-1901 00:00)   BAD FLAG : -1.E+34
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34
 Column  5: SST is Sea Surface Temperature (Degree C)   BAD FLAG : -1.E+34
DATETIME,TIME,LON,LAT,SST
"21-MAR-2007",38781,68.25,4,29.7  
"21-MAR-2007",38781,68.5,4,29.7  
"21-MAR-2007",38781,68.75,4,29.7  
"21-MAR-2007",38781,69,4,29.55  
"21-MAR-2007",38781,69.25,4,29.4  
"21-MAR-2007",38781,69.5,4,29.55  
"21-MAR-2007",38781,69.75,4,29.7  
"21-MAR-2007",38781,70,4,29.7  
"21-MAR-2007",38781,70.25,4,29.7  
"21-MAR-2007",38781,70.5,4,29.7  
"21-MAR-2007",38781,70.75,4,29.7  
"21-MAR-2007",38781,71,4,29.7  
"21-MAR-2007",38781,71.25,4,29.7  
"21-MAR-2007",38781,71.5,4,29.7  
"21-MAR-2007",38781,71.75,4,29.7  
"21-MAR-2007",38781,72,4,29.7  
"21-MAR-2007",38781,72.25,4,30.15  
"21-MAR-2007",38781,72.5,4,-1.E+34  
"21-MAR-2007",38781,72.75,4,-1.E+34  
"21-MAR-2007",38781,73,4,-1.E+34  
"21-MAR-2007",38781,73.25,4,-1.E+34  
"21-MAR-2007",38781,73.5,4,-1.E+34  
"21-MAR-2007",38781,73.75,4,-1.E+34  
"21-MAR-2007",38781,74,4,-1.E+34  
"21-MAR-2007",38781,74.25,4,29.85  
"21-MAR-2007",38781,74.5,4,30  
"21-MAR-2007",38781,74.75,4,30  
"21-MAR-2007",38781,75,4,30.15  
"21-MAR-2007",38781,75.25,4,30.15  
"21-MAR-2007",38781,75.5,4,30.15  
"21-MAR-2007",38781,75.75,4,30.15  
"21-MAR-2007",38781,76,4,30.15  
"21-MAR-2007",38781,76.25,4,30.3  
"21-MAR-2007",38781,76.5,4,30.3  
"21-MAR-2007",38781,76.75,4,30.3  
"21-MAR-2007",38781,77,4,30.3  
"21-MAR-2007",38781,77.25,4,30.3  
"21-MAR-2007",38781,77.5,4,30.3  
"21-MAR-2007",38781,77.75,4,30.3  
"21-MAR-2007",38781,78,4,30.15  
"21-MAR-2007",38781,78.25,4,30.3  
"21-MAR-2007",38781,78.5,4,30.15  
"21-MAR-2007",38781,78.75,4,30.15  
"21-MAR-2007",38781,79,4,30.15  
"21-MAR-2007",38781,79.25,4,30.15  
"21-MAR-2007",38781,79.5,4,30.15  
"21-MAR-2007",38781,79.75,4,30  
"21-MAR-2007",38781,80,4,29.85  
"21-MAR-2007",38781,80.25,4,29.85  
"21-MAR-2007",38781,80.5,4,29.85  
"21-MAR-2007",38781,80.75,4,29.85  
